RecordingTime [ms],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px]
1745248678.4318535,326,310,210,310
1745248678.4855354,326,310,211,309
1745248678.535381,327,311,210,309
1745248678.5858545,326,311,212,310
1745248678.6560795,327,311,212,311
1745248678.713899,327,312,211,311
1745248678.7664685,328,311,213,311
1745248678.8247108,328,312,213,311
1745248678.8664322,328,312,214,311
1745248678.9118075,328,311,213,310
1745248678.9595933,328,312,214,311
1745248679.0181725,329,312,214,311
1745248679.0805619,329,311,212,311
1745248679.1231918,329,312,213,311
1745248679.1811676,328,312,214,312
1745248679.2304537,328,313,211,311
1745248679.2905178,328,315,212,314
1745248679.344696,328,315,213,315
1745248679.3904698,329,314,212,313
1745248679.4409773,329,314,213,314
1745248679.4973142,329,315,213,315
1745248679.5662796,329,315,213,314
1745248679.6234372,329,315,212,314
1745248679.6655304,330,315,213,314
1745248679.7278502,328,316,214,314
1745248679.7664995,329,315,213,314
1745248679.8229518,329,315,213,313
1745248679.8863144,329,315,213,314
1745248679.9338531,328,315,212,314
1745248679.9863155,329,315,212,314
1745248680.0519931,329,316,212,315
1745248680.09843,328,317,211,316
1745248680.1437504,328,316,211,316
1745248680.1934643,328,317,211,316
1745248680.250338,328,317,210,316
1745248680.298485,328,317,210,316
1745248680.3454158,328,318,210,317
1745248680.396533,328,318,210,317
1745248680.4465754,328,318,208,317
1745248680.4953368,328,318,208,317
1745248680.5444376,328,318,208,318
1745248680.5895796,327,318,208,318
1745248680.656544,327,319,207,318
1745248680.7019765,327,320,206,320
1745248680.755941,327,320,207,319
1745248680.790046,328,320,205,319
1745248680.8514414,327,320,206,320
1745248680.9075878,327,321,205,320
1745248680.968923,328,320,206,320
1745248681.01192,328,320,205,320
1745248681.0689528,328,320,206,320
1745248681.1344464,328,320,206,320
1745248681.1895154,329,320,206,319
1745248681.2485406,329,320,206,320
1745248681.3142507,329,320,206,320
1745248681.3631334,329,321,206,320
1745248681.4118252,330,321,206,320
1745248681.4802966,329,321,206,320
1745248682.290617,327,325,206,324
1745248682.3368757,327,320,207,320
1745248682.4021196,327,319,208,319
1745248682.4631088,327,320,208,319
1745248682.5200713,327,319,208,318
1745248682.572841,327,318,208,318
1745248682.6402624,327,319,208,318
1745248682.6950347,327,319,209,318
1745248682.735983,328,318,209,318
1745248682.7852933,327,320,209,319
1745248682.8511577,327,320,210,320
